Product Name,Model Number,Category,Launch Date,Price (INR),Display Size,Display Type,Resolution,Refresh Rate,Processor,RAM,Internal Storage,Main Camera,Ultra Wide Camera,Telephoto Camera,Front Camera,Battery Capacity,Fast Charging,OS Version,5G Support,Water Resistance,Weight,Dimensions,Color Options,Special Features
Galaxy S24,SM-S921B,Smartphone,2024-01-24,79999,6.2 inches,Dynamic AMOLED 2X,2340 x 1080,120Hz,Exynos 2400,8GB,128GB,50MP f/1.8 OIS,12MP f/2.2,10MP f/2.4 3x Optical Zoom,12MP f/2.2,4000mAh,25W,Android 14 with One UI 6.1,Yes,IP68,167g,147.0 x 70.6 x 7.6mm,"Onyx Black, Marble Gray, Cobalt Violet, Amber Yellow","AI Photo Editing, Circle to Search, Live Translate, Nightography, S Pen Support (Note series), Wireless PowerShare"
Galaxy S24+,SM-S926B,Smartphone,2024-01-24,99999,6.7 inches,Dynamic AMOLED 2X,3120 x 1440,120Hz,Exynos 2400,12GB,256GB,50MP f/1.8 OIS,12MP f/2.2,10MP f/2.4 3x Optical Zoom,12MP f/2.2,4900mAh,45W,Android 14 with One UI 6.1,Yes,IP68,196g,158.5 x 75.9 x 7.7mm,"Onyx Black, Marble Gray, Cobalt Violet, Amber Yellow","AI Photo Editing, Circle to Search, Live Translate, Nightography, Wireless PowerShare, Larger Display"
Galaxy S24 Ultra,SM-S928B,Smartphone,2024-01-24,129999,6.8 inches,Dynamic AMOLED 2X,3120 x 1440,120Hz,Snapdragon 8 Gen 3,12GB,256GB,200MP f/1.7 OIS,12MP f/2.2,50MP f/3.4 5x Optical + 10MP f/2.4 3x Optical,12MP f/2.2,5000mAh,45W,Android 14 with One UI 6.1,Yes,IP68,232g,162.3 x 79.0 x 8.6mm,"Titanium Black, Titanium Gray, Titanium Violet, Titanium Yellow","AI Photo Editing, S Pen Built-in, Circle to Search, Live Translate, Expert RAW, 8K Video Recording, Space Zoom up to 100x"
